Occupation,COVID-19 Risk Score
First-Line Supervisors of Non-Retail Sales Workers,29.4
Mechanical Engineering Technicians,29.4
"Model Makers, Metal and Plastic",29.4
Dishwashers,29.3
Medical Appliance Technicians,29.2
Millwrights,29.2
"Floor Layers, Except Carpet, Wood, and Hard Tiles",29.1
Social and Community Service Managers,29
"Camera Operators, Television, Video, and Motion Picture",28.9
Freight Forwarders,28.9
Public Relations and Fundraising Managers,28.9
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",28.8
Neuropsychologists and Clinical Neuropsychologists,28.8
"Electric Motor, Power Tool, and Related Repairers",28.7
Merchandise Displayers and Window Trimmers,28.7
Molding and Casting Workers,28.7
Locksmiths and Safe Repairers,28.6
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",28.5
"Rotary Drill Operators, Oil and Gas",28.5
"Pump Operators, Except Wellhead Pumpers",28.4
Computer Operators,28.3
Wind Energy Operations Managers,28.3
Word Processors and Typists,28.2
Fitness and Wellness Coordinators,28.1
Freight and Cargo Inspectors,28
Helpers--Electricians,28
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",28
Food Batchmakers,27.9
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",27.9
Executive Secretaries and Executive Administrative Assistants,27.8
Loan Counselors,27.8
Loan Officers,27.8
Roofers,27.8
Animal Trainers,27.6
Radio and Television Announcers,27.6
Residential Advisors,27.6
"Biological Science Teachers, Postsecondary",27.5
Forest Fire Inspectors and Prevention Specialists,27.5
Locomotive Engineers,27.5
"Model Makers, Wood",27.5
Advertising Sales Agents,27.4
Credit Counselors,27.3
Engine and Other Machine Assemblers,27.3
Quality Control Analysts,27.3
Riggers,27.3
Automotive and Watercraft Service Attendants,27.2
Talent Directors,27.2
Recycling Coordinators,27.1
Chemical Equipment Operators and Tenders,26.9
Cytotechnologists,26.9
Data Entry Keyers,26.9
"Inspectors, Testers, Sorters, Samplers, and Weighers",26.9
Crane and Tower Operators,26.8
Human Resources Specialists,26.8
Nuclear Equipment Operation Technicians,26.8
Labor Relations Specialists,26.7
Industrial Production Managers,26.6
Municipal Clerks,26.6
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",26.5
Pipe Fitters and Steamfitters,26.5
Radio Mechanics,26.5
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",26.5
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",26.5
"Home Economics Teachers, Postsecondary",26.4
"Order Fillers, Wholesale and Retail Sales",26.4
Railroad Conductors and Yardmasters,26.4
Solar Sales Representatives and Assessors,26.4
Counseling Psychologists,26.3
Gas Compressor and Gas Pumping Station Operators,26.3
First-Line Supervisors of Office and Administrative Support Workers,26.2
Glaziers,26.2
Heating and Air Conditioning Mechanics and Installers,26.2
Security and Fire Alarm Systems Installers,26.2
"Electrical and Electronics Installers and Repairers, Transportation Equipment",26.1
Paralegals and Legal Assistants,26.1
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",26
Biological Technicians,26
Continuous Mining Machine Operators,26
Range Managers,26
Training and Development Managers,26
"Insulation Workers, Mechanical",25.9
Medical and Health Services Managers,25.9
Correspondence Clerks,25.8
Distance Learning Coordinators,25.8
"Rail Yard Engineers, Dinkey Operators, and Hostlers",25.8
Reporters and Correspondents,25.8
Compliance Managers,25.7
Ophthalmic Laboratory Technicians,25.7
"Production, Planning, and Expediting Clerks",25.7
Industrial Machinery Mechanics,25.6
"Insurance Adjusters, Examiners, and Investigators",25.6
"Paper Goods Machine Setters, Operators, and Tenders",25.6
"Laborers and Freight, Stock, and Material Movers, Hand",25.5
Slaughterers and Meat Packers,25.5
Foundry Mold and Coremakers,25.4
Marine Architects,25.4
Accountants,25.2
Audio and Video Equipment Technicians,25.2
Butchers and Meat Cutters,25.2
"Meter Readers, Utilities",25.2
Outdoor Power Equipment and Other Small Engine Mechanics,25.2
Environmental Engineering Technicians,25.1
"Medical Scientists, Except Epidemiologists",25.1
Biofuels Processing Technicians,25
"Claims Examiners, Property and Casualty Insurance",25
Customs Brokers,25
Security Managers,25
Nursery and Greenhouse Managers,24.9
Biofuels Production Managers,24.8
Medical Transcriptionists,24.8
Park Naturalists,24.8
Segmental Pavers,24.8
Shoe and Leather Workers and Repairers,24.8
Chemical Plant and System Operators,24.7
Excavating and Loading Machine and Dragline Operators,24.7
"Mates- Ship, Boat, and Barge",24.7
"Sales Agents, Securities and Commodities",24.7
Biomass Plant Technicians,24.6
Network and Computer Systems Administrators,24.6
Insurance Sales Agents,24.5
Power Distributors and Dispatchers,24.5
Tree Trimmers and Pruners,24.5
Athletes and Sports Competitors,24.3
"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",24.3
Proofreaders and Copy Markers,24.3
"Umpires, Referees, and Other Sports Officials",24.2
Mechatronics Engineers,24.1
Construction Managers,24
Fence Erectors,24
"Maintenance Workers, Machinery",24
"Financial Managers, Branch or Department",23.9
Industrial Engineering Technicians,23.9
"Patternmakers, Metal and Plastic",23.9
Security Guards,23.9
Weatherization Installers and Technicians,23.9
Advertising and Promotions Managers,23.8
Biomass Power Plant Managers,23.8
"Criminal Justice and Law Enforcement Teachers, Postsecondary",23.8
Film and Video Editors,23.8
Marketing Managers,23.8
Mechanical Door Repairers,23.8
Travel Agents,23.8
File Clerks,23.7
Logisticians,23.7
Biologists,23.6
First-Line Supervisors of Aquacultural Workers,23.6
Pathologists,23.6
Bicycle Repairers,23.5
Hydroelectric Plant Technicians,23.5
Timing Device Assemblers and Adjusters,23.5
"Anthropology and Archeology Teachers, Postsecondary",23.4
Computer Programmers,23.4
Electro-Mechanical Technicians,23.4
"Graders and Sorters, Agricultural Products",23.4
Recycling and Reclamation Workers,23.4
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",23.2
Genetic Counselors,23.2
Pest Control Workers,23.2
"Sociology Teachers, Postsecondary",23.2
"Property, Real Estate, and Community Association Managers",23.1
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",23.1
Lawyers,23
"Painters, Construction and Maintenance",23
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",22.9
Art Directors,22.9
Brickmasons and Blockmasons,22.9
Chemical Technicians,22.9
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",22.9
Training and Development Specialists,22.8
Agricultural Technicians,22.7
Energy Auditors,22.7
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",22.7
Occupational Health and Safety Specialists,22.7
"Sawing Machine Setters, Operators, and Tenders, Wood",22.7
"Architecture Teachers, Postsecondary",22.6
"Office Machine Operators, Except Computer",22.6
Power Plant Operators,22.6
Public Address System and Other Announcers,22.6
Audio-Visual and Multimedia Collections Specialists,22.5
Insurance Claims Clerks,22.5
Team Assemblers,22.5
Water and Wastewater Treatment Plant and System Operators,22.4
Auditors,22.3
Photographers,22.3
Sales Engineers,22.3
"Communications Teachers, Postsecondary",22.2
"Compensation, Benefits, and Job Analysis Specialists",22.2
Public Relations Specialists,22.2
Purchasing Managers,22.2
Risk Management Specialists,22.2
"Bookkeeping, Accounting, and Auditing Clerks",22.1
Energy Brokers,22.1
Fabric and Apparel Patternmakers,22.1
First-Line Supervisors of Logging Workers,22.1
Food Science Technicians,22.1
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",22
"Law Teachers, Postsecondary",21.9
Recreational Vehicle Service Technicians,21.9
Payroll and Timekeeping Clerks,21.8
Automotive Glass Installers and Repairers,21.7
Avionics Technicians,21.7
Graduate Teaching Assistants,21.7
Locomotive Firers,21.7
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",21.6
"Education Administrators, Postsecondary",21.5
Equal Opportunity Representatives and Officers,21.5
Operating Engineers and Other Construction Equipment Operators,21.5
"Helpers--Installation, Maintenance, and Repair Workers",21.4
Landscaping and Groundskeeping Workers,21.4
Motorboat Mechanics and Service Technicians,21.4
Online Merchants,21.4
Textile Bleaching and Dyeing Machine Operators and Tenders,21.4
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",21.3
Hunters and Trappers,21.2
Helpers--Roofers,21.1
Industrial Truck and Tractor Operators,21.1
Insurance Underwriters,21.1
Logistics Managers,21.1
Rail Car Repairers,21
Chemists,20.9
"Mobile Heavy Equipment Mechanics, Except Engines",20.9
Nuclear Monitoring Technicians,20.9
Cleaners of Vehicles and Equipment,20.8
Computer and Information Research Scientists,20.8
"English Language and Literature Teachers, Postsecondary",20.8
"Explosives Workers, Ordnance Handling Experts, and Blasters",20.8
Human Resources Managers,20.8
Petroleum Engineers,20.8
Automotive Specialty Technicians,20.7
Video Game Designers,20.7
Compensation and Benefits Managers,20.6
Forest and Conservation Technicians,20.6
Radio Frequency Identification Device Specialists,20.6
Supply Chain Managers,20.6
Administrative Services Managers,20.5
Chief Sustainability Officers,20.5
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",20.5
Private Detectives and Investigators,20.5
Electronic Home Entertainment Equipment Installers and Repairers,20.4
Industrial Engineers,20.4
Packaging and Filling Machine Operators and Tenders,20.4
Telecommunications Engineering Specialists,20.4
Aerospace Engineers,20.3
Assessors,20.3
Budget Analysts,20.3
Computer and Information Systems Managers,20.3
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",20.3
Legal Secretaries,20.2
Personal Financial Advisors,20.2
"Paving, Surfacing, and Tamping Equipment Operators",20.1
Bioinformatics Technicians,20
Commercial and Industrial Designers,20
Credit Analysts,20
Electromechanical Engineering Technologists,20
Industrial Safety and Health Engineers,20
"Mathematical Science Teachers, Postsecondary",20
Occupational Health and Safety Technicians,20
Reinforcing Iron and Rebar Workers,20
Tax Preparers,20
Travel Guides,20
Validation Engineers,20
Editors,19.9
Library Technicians,19.9
"Mixing and Blending Machine Setters, Operators, and Tenders",19.9
Computer Systems Analysts,19.8
Informatics Nurse Specialists,19.8
Cabinetmakers and Bench Carpenters,19.7
Cost Estimators,19.7
"Education Teachers, Postsecondary",19.6
Farm and Home Management Advisors,19.6
Geothermal Technicians,19.6
Solar Thermal Installers and Technicians,19.6
Medical Equipment Repairers,19.4
Multimedia Artists and Animators,19.4
"Physics Teachers, Postsecondary",19.4
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",19.4
"Shipping, Receiving, and Traffic Clerks",19.4
Sound Engineering Technicians,19.4
Aircraft Mechanics and Service Technicians,19.3
Electromechanical Equipment Assemblers,19.3
Financial Analysts,19.3
Food Scientists and Technologists,19.2
Anthropologists,19.1
Hydroelectric Production Managers,19
Information Technology Project Managers,19
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",18.9
"Cutters and Trimmers, Hand",18.9
Geophysical Data Technicians,18.9
Industrial-Organizational Psychologists,18.9
"Library Science Teachers, Postsecondary",18.9
Treasurers and Controllers,18.9
Cartographers and Photogrammetrists,18.8
Court Reporters,18.8
Electrical Power-Line Installers and Repairers,18.8
"Environmental Scientists and Specialists, Including Health",18.8
Fundraisers,18.8
Logging Equipment Operators,18.8
Set and Exhibit Designers,18.8
"Engineering Teachers, Postsecondary",18.7
Mine Shuttle Car Operators,18.7
"Fabric Menders, Except Garment",18.6
Agricultural Equipment Operators,18.5
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",18.5
"Architects, Except Landscape and Naval",18.5
Insurance Policy Processing Clerks,18.4
Musical Instrument Repairers and Tuners,18.4
"Grinding and Polishing Workers, Hand",18.3
Hazardous Materials Removal Workers,18.3
Log Graders and Scalers,18.3
"Chemistry Teachers, Postsecondary",18.2
"Cooks, Fast Food",18.2
Geothermal Production Managers,18.2
Logistics Engineers,18.2
Aviation Inspectors,18.1
Cooling and Freezing Equipment Operators and Tenders,18.1
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",18.1
Medical Records and Health Information Technicians,18.1
Storage and Distribution Managers,18.1
"Earth Drillers, Except Oil and Gas",18
"Electronic Equipment Installers and Repairers, Motor Vehicles",18
Hoist and Winch Operators,18
"Arbitrators, Mediators, and Conciliators",17.9
"Environmental Science Teachers, Postsecondary",17.9
Landscape Architects,17.9
Aerospace Engineering and Operations Technicians,17.8
Bus and Truck Mechanics and Diesel Engine Specialists,17.8
"Layout Workers, Metal and Plastic",17.8
Plasterers and Stucco Masons,17.8
Carpet Installers,17.7
Printing Press Operators,17.7
Soil and Water Conservationists,17.5
Curators,17.4
Water/Wastewater Engineers,17.3
Broadcast Technicians,17.1
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",17.1
Investment Fund Managers,17.1
"Painting, Coating, and Decorating Workers",17.1
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",17
Electronics Engineering Technicians,17
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",17
Motorcycle Mechanics,17
Urban and Regional Planners,17
Automotive Master Mechanics,16.9
Aquacultural Managers,16.7
City and Regional Planning Aides,16.7
Clinical Data Managers,16.7
Logistics Analysts,16.7
Manufacturing Engineers,16.7
Metal-Refining Furnace Operators and Tenders,16.6
"Psychology Teachers, Postsecondary",16.5
Furniture Finishers,16.4
Structural Metal Fabricators and Fitters,16.4
Archeologists,16.3
Parking Enforcement Workers,16.2
Animal Scientists,16.1
Automotive Engineering Technicians,16.1
"Cutting and Slicing Machine Setters, Operators, and Tenders",16.1
Electrical Drafters,16.1
Historians,16.1
Industrial Engineering Technologists,16.1
Postal Service Mail Carriers,16.1
Regulatory Affairs Managers,16.1
"Coin, Vending, and Amusement Machine Servicers and Repairers",16
Electrical Engineering Technologists,16
Precision Agriculture Technicians,16
Upholsterers,16
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",16
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",15.9
"Geography Teachers, Postsecondary",15.9
Interior Designers,15.9
Photonics Engineers,15.9
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",15.9
Electrical Engineers,15.8
Technical Writers,15.8
Heavy and Tractor-Trailer Truck Drivers,15.7
Helpers--Production Workers,15.7
"Computer-Controlled Machine Tool Operators, Metal and Plastic",15.6
Geneticists,15.6
Information Security Analysts,15.6
"Insulation Workers, Floor, Ceiling, and Wall",15.6
